callId,queryId,split,positive,size,orderIndex,method,shownCount,approvedInPool,approvedShown,candidateRecall,bestTargetRank,bestTargetCosine,approvedPositions,decision,targetId,targetIsAnchor,outcome,correct,falseJoin,failure,attempts,retries,promptTokens,cachedTokens,cacheWriteTokens,completionTokens,reasoningTokens,billedUsd,undiscountedUsd,apiElapsedMs,retrievalMs,labelStatus,outcomeLenient,labelsFile,labelsSha256
"pktbx-n100-o0-A","pktbx","test","true","100","0","A","100","2","2","true","1","0.887918","2 5","same","pcv53","true","correct","true","false","","1","0","2737","0","2734","178","131","0.0008977000000000002","0.000761","2146.296124999999","0","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"peqy9-n200-o1-B","peqy9","test","true","200","1","B","15","1","1","true","1","0.906549","9","none","","false","miss-abstain","false","false","","1","0","629","0","0","154","103","0.0003106","0.0003106","2413.474333","0.3171249999999901","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pyr2u-n500-o0-B","pyr2u","test","true","500","0","B","15","1","1","true","1","0.919901","0","same","pfwr5","true","correct","true","false","","1","0","673","0","0","93","47","0.00024619999999999997","0.00024619999999999997","1512.7866250000006","0.8645000000000067","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pppcy-n100-o0-B","pppcy","test","false","100","0","B","15","0","0","","","","","none","","false","correct","true","false","","1","0","654","0","0","99","45","0.00024960000000000005","0.00024960000000000005","1670.327792","0.17249999999999943","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pktbx-n100-o1-A","pktbx","test","true","100","1","A","100","2","2","true","1","0.887918","50 57","same","pcv53","true","correct","true","false","","1","0","2737","0","2734","404","362","0.0011689","0.0010321999999999998","3975.8742500000008","0","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pnyg7-n100-o1-A","pnyg7","test","true","100","1","A","100","1","1","true","1","0.912505","50","same","pptwk","true","correct","true","false","","1","0","2717","0","2714","115","69","0.0008171000000000002","0.0006814","1778.4582079999982","0","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pppcy-n500-o1-A","pppcy","test","false","500","1","A","500","0","0","","","","","none","","false","correct","true","false","","1","0","12549","0","12546","93","41","0.0032487","0.0026214000000000003","1665.3940000000002","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"p6xjr-n200-o0-B","p6xjr","test","true","200","0","B","15","1","1","true","1","0.944517","1","none","","false","miss-abstain","false","false","","1","0","694","0","0","149","99","0.0003176","0.0003176","2174.0313749999987","0.2978750000000048","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pu3fh-n500-o0-B","pu3fh","test","false","500","0","B","15","0","0","","","","","none","","false","correct","true","false","","1","0","642","0","0","139","86","0.00029519999999999997","0.00029519999999999997","1920.3945410000015","0.8100839999999963","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pc3m2-n100-o0-B","pc3m2","test","true","100","0","B","15","1","1","true","1","0.879539","0","none","","false","miss-abstain","false","false","","1","0","685","0","0","180","125","0.000353","0.000353","2170.2323749999996","0.1561670000000035","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pnyg7-n100-o0-A","pnyg7","test","true","100","0","A","100","1","1","true","1","0.912505","5","none","","false","miss-abstain","false","false","","1","0","2717","0","2714","141","90","0.0008483000000000002","0.0007125999999999999","3226.635707999998","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"peqy9-n100-o0-A","peqy9","test","true","100","0","A","100","1","1","true","1","0.906549","5","none","","false","miss-abstain","false","false","","1","0","2749","0","2746","158","107","0.0008767","0.0007394000000000001","2412.919332999998","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pyr2u-n100-o1-A","pyr2u","test","true","100","1","A","100","1","1","true","1","0.919901","50","same","pfwr5","true","correct","true","false","","1","0","2747","0","2744","41","0","0.0007358000000000002","0.0005986","1206.2045419999995","0","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pymzr-n100-o0-A","pymzr","test","true","100","0","A","100","1","1","true","1","0.94721","5","none","","false","miss-abstain","false","false","","1","0","2723","0","2720","110","68","0.0008126","0.0006766000000000001","1741.0540419999998","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"paak8-n200-o1-B","paak8","test","true","200","1","B","15","3","3","true","1","0.891907","0 7 10","none","","false","miss-abstain","false","false","","1","0","787","0","0","251","203","0.00045860000000000003","0.00045860000000000003","2727.1585000000014","0.3318750000000037","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pns2r-n200-o0-A","pns2r","test","false","200","0","A","200","0","0","","","","","none","","false","correct","true","false","","1","0","5149","0","5146","37","0","0.0013315","0.0010742","1109.6451250000027","0","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pnyg7-n100-o1-B","pnyg7","test","true","100","1","B","15","1","1","true","1","0.912505","8","none","","false","miss-abstain","false","false","","1","0","703","0","0","171","122","0.00034579999999999995","0.00034579999999999995","2232.2360420000005","0.15200000000000102","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"ptcr8-n100-o0-B","ptcr8","test","false","100","0","B","15","0","0","","","","","none","","false","correct","true","false","","1","0","626","0","0","90","41","0.00023319999999999998","0.00023319999999999998","1584.419708999998","0.1693339999999992","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"peqy9-n500-o0-B","peqy9","test","true","500","0","B","15","1","1","true","1","0.906549","0","none","","false","miss-abstain","false","false","","1","0","619","0","0","151","99","0.000305","0.000305","2119.4369589999988","0.8169999999999931","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pymzr-n500-o0-A","pymzr","test","true","500","0","A","500","1","1","true","1","0.94721","25","none","","false","miss-abstain","false","false","","1","0","12534","0","12531","117","74","0.0032737500000000006","0.0026472","1703.0854590000017","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"paak8-n100-o1-B","paak8","test","true","100","1","B","15","3","3","true","1","0.891907","4 5 12","none","","false","miss-abstain","false","false","","1","0","791","0","0","209","162","0.000409","0.000409","2543.2209159999984","0.15995899999999352","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"paak8-n500-o0-A","paak8","test","true","500","0","A","500","3","3","true","1","0.891907","25 374 412","same","pj2cj","true","correct","true","false","","1","0","12552","0","12549","264","210","0.00345465","0.0028272","2747.521332999997","0","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"ptgpf-n500-o0-B","ptgpf","test","true","500","0","B","15","3","3","true","2","0.913979","0 5 12","none","","false","miss-abstain","false","false","","1","0","576","0","0","334","289","0.000516","0.000516","4050.5769590000054","0.8322089999999989","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pymzr-n200-o0-A","pymzr","test","true","200","0","A","200","1","1","true","1","0.94721","10","none","","false","miss-abstain","false","false","","1","0","5165","0","5162","138","89","0.0014566999999999998","0.0011986","1635.3302500000063","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pktbx-n500-o1-B","pktbx","test","true","500","1","B","15","2","2","true","2","0.887918","6 13","none","","false","miss-abstain","false","false","","1","0","596","0","0","284","232","0.00046","0.00046","2962.079291000002","2.571458000000007","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"ptgpf-n500-o0-A","ptgpf","test","true","500","0","A","500","3","3","true","2","0.913979","25 114 293","same","psnvi","true","correct","true","false","","1","0","12487","0","12484","142","102","0.003292","0.0026678","2212.8289159999986","0","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pnyg7-n500-o1-B","pnyg7","test","true","500","1","B","15","1","1","true","1","0.912505","7","none","","false","miss-abstain","false","false","","1","0","691","0","0","195","145","0.00037220000000000005","0.00037220000000000005","2346.4144579999993","0.8124579999999995","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"paak8-n500-o1-A","paak8","test","true","500","1","A","500","3","3","true","1","0.891907","111 250 322","same","pj2cj","true","correct","true","false","","1","0","12552","0","12549","252","201","0.00344025","0.0028128000000000003","2460.7062499999956","0","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pudtd-n500-o0-A","pudtd","test","false","500","0","A","500","0","0","","","","","none","","false","correct","true","false","","1","0","12513","0","12510","243","189","0.0034197","0.0027942","2585.0542920000007","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"ptgpf-n100-o1-A","ptgpf","test","true","100","1","A","100","3","3","true","2","0.913979","30 50 94","none","","false","miss-abstain","false","false","","1","0","2694","0","2691","205","159","0.00091935","0.0007848000000000001","2756.7338329999984","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pppcy-n100-o1-B","pppcy","test","false","100","1","B","15","0","0","","","","","none","","false","correct","true","false","","1","0","654","0","0","105","54","0.0002568","0.0002568","1676.090833000002","0.17249999999999943","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"ptcr8-n200-o0-B","ptcr8","test","false","200","0","B","15","0","0","","","","","none","","false","correct","true","false","","1","0","635","0","0","102","59","0.0002494","0.0002494","1332.242667000006","0.33387499999999903","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pudtd-n100-o0-A","pudtd","test","false","100","0","A","100","0","0","","","","","none","","false","correct","true","false","","1","0","2715","0","2712","51","0","0.0007398000000000001","0.0006042","1165.5159580000036","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pqeyn-n500-o0-B","pqeyn","test","false","500","0","B","15","0","0","","","","","none","","false","correct","true","false","","1","0","645","0","0","111","52","0.0002622","0.0002622","1766.6212920000035","0.7787500000000023","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"ptwgu-n100-o0-A","ptwgu","test","true","100","0","A","100","1","1","true","2","0.909768","5","none","","false","miss-abstain","false","false","","1","0","2683","0","2680","343","290","0.0010822","0.0009482000000000001","3688.2186250000013","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pqeyn-n100-o1-B","pqeyn","test","false","100","1","B","15","0","0","","","","","none","","false","correct","true","false","","1","0","620","0","0","113","65","0.0002596","0.0002596","1491.7300000000032","0.1495829999999998","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"p68um-n200-o0-A","p68um","test","false","200","0","A","200","0","0","","","","","none","","false","correct","true","false","","1","0","5130","0","5127","110","70","0.00141435","0.001158","1720.7457090000025","0","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"paak8-n200-o0-A","paak8","test","true","200","0","A","200","3","3","true","1","0.891907","10 39 52","same","pj2cj","true","correct","true","false","","1","0","5205","0","5202","350","299","0.0017211","0.001461","3488.6210830000055","0","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"p6xjr-n100-o1-B","p6xjr","test","true","100","1","B","15","1","1","true","1","0.944517","5","none","","false","miss-abstain","false","false","","1","0","679","0","0","172","116","0.0003422","0.0003422","2136.9219169999997","0.16779100000000824","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"ptcr8-n100-o1-B","ptcr8","test","false","100","1","B","15","0","0","","","","","none","","false","correct","true","false","","1","0","626","0","0","86","43","0.0002284","0.0002284","1233.799791999998","0.1693339999999992","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pudtd-n500-o1-B","pudtd","test","false","500","1","B","15","0","0","","","","","none","","false","correct","true","false","","1","0","566","0","0","48","0","0.0001708","0.0001708","1188.360916000005","0.8208750000000009","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pymzr-n200-o1-B","pymzr","test","true","200","1","B","15","1","1","true","1","0.94721","4","same","pt458","true","correct","true","false","","1","0","730","0","0","43","0","0.0001976","0.0001976","1012.5028329999986","0.31733300000000497","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pugud-n200-o1-B","pugud","test","false","200","1","B","15","0","0","","","","","none","","false","correct","true","false","","1","0","640","0","0","125","75","0.000278","0.000278","1655.229707999999","0.3158329999999978","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"ptwgu-n200-o1-B","ptwgu","test","true","200","1","B","15","1","1","true","2","0.909768","6","none","","false","miss-abstain","false","false","","1","0","631","0","0","184","129","0.000347","0.000347","2794.3505829999995","0.3064999999999998","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pnyg7-n200-o1-B","pnyg7","test","true","200","1","B","15","1","1","true","1","0.912505","5","none","","false","miss-abstain","false","false","","1","0","692","0","0","178","125","0.000352","0.000352","2119.0583750000005","0.30491599999999863","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pns2r-n500-o1-A","pns2r","test","false","500","1","A","500","0","0","","","","","none","","false","correct","true","false","","1","0","12549","0","12546","40","0","0.0031851","0.0025578000000000003","1015.5597909999997","0","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pymzr-n100-o1-A","pymzr","test","true","100","1","A","100","1","1","true","1","0.94721","50","none","","false","miss-abstain","false","false","","1","0","2723","0","2720","118","77","0.0008222","0.0006862000000000001","1555.0417499999967","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pxn3z-n500-o0-B","pxn3z","test","false","500","0","B","15","0","0","","","","","none","","false","correct","true","false","","1","0","688","0","0","80","30","0.00023359999999999999","0.00023359999999999999","1525.4822080000013","0.8022080000000003","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pqeyn-n200-o0-A","pqeyn","test","false","200","0","A","200","0","0","","","","","none","","false","correct","true","false","","1","0","5155","0","5152","142","92","0.001459","0.0012014","2038.6675000000032","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pudtd-n200-o1-A","pudtd","test","false","200","1","A","200","0","0","","","","","none","","false","correct","true","false","","1","0","5183","0","5180","175","123","0.0015056","0.0012466","2406.1410839999953","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pnyg7-n200-o0-B","pnyg7","test","true","200","0","B","15","1","1","true","1","0.912505","0","none","","false","miss-abstain","false","false","","1","0","692","0","0","140","92","0.00030639999999999997","0.00030639999999999997","2260.0403339999975","0.30491599999999863","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"peqy9-n100-o0-B","peqy9","test","true","100","0","B","15","1","1","true","1","0.906549","1","none","","false","miss-abstain","false","false","","1","0","633","0","0","182","127","0.000345","0.000345","2246.7296669999996","0.1636659999999921","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"paak8-n200-o0-B","paak8","test","true","200","0","B","15","3","3","true","1","0.891907","0 2 4","same","pj2cj","true","correct","true","false","","1","0","787","0","0","195","144","0.00039139999999999997","0.00039139999999999997","2401.8213749999995","0.3318750000000037","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pyr2u-n500-o0-A","pyr2u","test","true","500","0","A","500","1","1","true","1","0.919901","25","same","pfwr5","true","correct","true","false","","1","0","12538","0","12535","89","44","0.00324115","0.0026144000000000007","1607.2882910000044","0","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pudtd-n100-o1-A","pudtd","test","false","100","1","A","100","0","0","","","","","none","","false","correct","true","false","","1","0","2715","0","2712","270","219","0.0010026","0.000867","3121.4136670000007","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"p68um-n100-o0-A","p68um","test","false","100","0","A","100","0","0","","","","","none","","false","correct","true","false","","1","0","2699","0","2696","110","59","0.0008066","0.0006718000000000001","1751.488584000006","0","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pugud-n100-o1-B","pugud","test","false","100","1","B","15","0","0","","","","","none","","false","correct","true","false","","1","0","661","0","0","144","97","0.000305","0.000305","1924.1031249999942","0.1611249999999984","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pnyg7-n500-o0-B","pnyg7","test","true","500","0","B","15","1","1","true","1","0.912505","0","none","","false","miss-abstain","false","false","","1","0","691","0","0","136","82","0.00030139999999999995","0.00030139999999999995","1951.3634170000005","0.8124579999999995","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pktbx-n200-o1-A","pktbx","test","true","200","1","A","200","2","2","true","1","0.887918","100 122","none","","false","miss-abstain","false","false","","1","0","5174","0","5171","171","122","0.00149855","0.00124","2237.164916000009","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"p6xjr-n500-o0-A","p6xjr","test","true","500","0","A","500","1","1","true","1","0.944517","25","none","","false","miss-abstain","false","false","","1","0","12521","0","12518","215","161","0.0033881000000000002","0.0027622000000000002","3810.900416999997","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pymzr-n100-o0-B","pymzr","test","true","100","0","B","15","1","1","true","1","0.94721","1","none","","false","miss-abstain","false","false","","1","0","732","0","0","132","81","0.00030480000000000004","0.00030480000000000004","2225.6776249999966","0.16275000000000261","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"p8jmp-n500-o1-A","p8jmp","test","false","500","1","A","500","0","0","","","","","none","","false","correct","true","false","","1","0","12495","0","12492","99","45","0.0032424","0.0026178","1641.9411669999972","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pu3fh-n500-o1-A","pu3fh","test","false","500","1","A","500","0","0","","","","","none","","false","correct","true","false","","1","0","12528","0","12525","130","79","0.0032878499999999997","0.0026616000000000005","1906.2225420000032","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pns2r-n500-o1-B","pns2r","test","false","500","1","B","15","0","0","","","","","none","","false","correct","true","false","","1","0","647","0","0","47","0","0.00018580000000000002","0.00018580000000000002","1139.8217500000028","0.8030410000000003","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pugud-n100-o0-A","pugud","test","false","100","0","A","100","0","0","","","","","none","","false","correct","true","false","","1","0","2717","0","2714","139","90","0.0008459000000000001","0.0007101999999999999","1790.5366249999934","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pnyg7-n200-o1-A","pnyg7","test","true","200","1","A","200","1","1","true","1","0.912505","100","same","pptwk","true","correct","true","false","","1","0","5077","0","5074","103","57","0.0013926999999999998","0.001139","1747.8765829999902","0","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pymzr-n500-o1-B","pymzr","test","true","500","1","B","15","1","1","true","1","0.94721","6","none","","false","miss-abstain","false","false","","1","0","705","0","0","119","74","0.00028379999999999996","0.00028379999999999996","1826.5489159999997","0.811916999999994","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pc3m2-n200-o1-B","pc3m2","test","true","200","1","B","15","1","1","true","1","0.879539","7","none","","false","miss-abstain","false","false","","1","0","707","0","0","152","102","0.0003238","0.0003238","1927.7535000000062","0.37279099999999943","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
